year,event_code,bib,name,finished,dnf_type,cp_id,cp_name,cp_type,arrival_time,split_label,split_secs,elapsed_str,dwell_secs
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101421,Start HK Trail,control,2021-02-13 16:39:46,19:54:02,71642,34:34:46,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101422,End HK Trail,control,,,0,34:34:46,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101424,Start Lantau Trail,control,,,0,34:34:46,
2021,21hk4tuc,3,Tom Robertshaw,False,Retired,101425,Finish,finish,,,0,34:34:46,
2021,21hk4tuc,4,Mark Green,False,Retired,101412,Start,start,2021-02-12 06:10:00,,0,00:00:00,
2021,21hk4tuc,4,Mark Green,False,Retired,101415,End Maclehose Trail,control,2021-02-12 21:46:51,15:36:51,56211,15:36:51,
2021,21hk4tuc,4,Mark Green,False,Retired,101418,Start Wilson Trail,control,2021-02-12 22:41:51,00:55:00,3300,16:31:51,
2021,21hk4tuc,4,Mark Green,False,Retired,101419,End Wilson Trail,control,2021-02-13 16:00:37,17:18:46,62326,33:50:37,
2021,21hk4tuc,4,Mark Green,False,Retired,101421,Start HK Trail,control,2021-02-13 16:54:54,00:54:17,3257,34:44:54,
2021,21hk4tuc,4,Mark Green,False,Retired,101422,End HK Trail,control,,,0,34:44:54,
2021,21hk4tuc,4,Mark Green,False,Retired,101424,Start Lantau Trail,control,,,0,34:44:54,
2021,21hk4tuc,4,Mark Green,False,Retired,101425,Finish,finish,,,0,34:44:54,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101412,Start,start,2021-02-12 06:21:00,,0,00:00:00,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101415,End Maclehose Trail,control,2021-02-12 21:35:59,15:14:59,54899,15:14:59,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101418,Start Wilson Trail,control,2021-02-12 22:26:02,00:50:03,3003,16:05:02,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101419,End Wilson Trail,control,2021-02-13 16:52:36,18:26:34,66394,34:31:36,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101421,Start HK Trail,control,2021-02-13 17:37:02,00:44:26,2666,35:16:02,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101422,End HK Trail,control,,,0,35:16:02,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101424,Start Lantau Trail,control,,,0,35:16:02,
2021,21hk4tuc,7,Leo Chung Kwong On 鍾廣安,False,Retired,101425,Finish,finish,,,0,35:16:02,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101412,Start,start,2021-02-12 06:42:00,,0,00:00:00,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101415,End Maclehose Trail,control,2021-02-12 19:22:08,12:40:08,45608,12:40:08,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101418,Start Wilson Trail,control,2021-02-12 20:48:32,01:26:24,5184,14:06:32,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101419,End Wilson Trail,control,2021-02-13 10:43:25,13:54:53,50093,28:01:25,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101421,Start HK Trail,control,,,0,28:01:25,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101422,End HK Trail,control,,,0,28:01:25,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101424,Start Lantau Trail,control,,,0,28:01:25,
2021,21hk4tuc,6,Stone Tsang Siu Keung 曾小強,False,Retired,101425,Finish,finish,,,0,28:01:25,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101412,Start,start,2021-02-12 06:03:00,,0,00:00:00,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101415,End Maclehose Trail,control,,,0,00:00:00,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101418,Start Wilson Trail,control,2021-02-12 22:13:23,16:10:23,58223,16:10:23,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101419,End Wilson Trail,control,,,0,16:10:23,
